@lat	@lon	name	operator	brand	addr:city	phone	website
9.7268491	76.5616767						
12.6367291	75.1032523	HPCL Petrol pump					
9.6858277	76.6134593						
9.6737552	76.8120313	Hindustan Petroleum		Hindustan Petroleum			
8.6787498	76.9044255						
8.6736160	76.9112008	HP		Hindustan Petroleum			
8.6401206	76.9301157						
11.3484063	76.2926243						
11.3523246	76.2977312	Bharat Petroleum		Bharat Petroleum			
11.3549122	76.3006200	Indian Oil Petrol Pump					
11.3811923	76.3395469						
9.8421294	76.5917120	Hindustan Petroleum Best Energy Services					
10.0195912	76.5624415	HP	Puthussery Group	Hindustan Petroleum	Pezhakkapilly		
10.0435153	76.5362149						
10.0452583	76.5338358						
10.1044346	76.4834451						
8.9587324	76.8421498						
8.9394302	76.8495956						
8.8950596	76.8619070						
8.8758708	76.8685186	Hindustan petroleum Jameela Beevi Agencies					
8.7295488	76.8987552	Indian Oil					
8.7243181	76.8982643	HP					
8.6029648	76.9451601						
8.5566708	76.9432933	City Fuels Mannanthala					
8.5513025	76.9422392						
8.5482625	76.9741495	Hindustan Petroleum	Hindustan Petroleum	Hindustan Petroleum			
8.6413508	77.0212974	HP Petrol Pump	Hindustan Petroleum				
8.7113429	77.0287029						
10.0100191	76.9578604	Bharat Petroleum					
9.9174283	76.9618006						
9.8848336	76.9689058	SRM Fuels					
9.1528108	76.7425272						
9.2434790	76.7564935	Tharayil Fuels -Bharat Petroleum Petrol Pump					
9.2461424	76.7567483	HP Petrol Pump					
9.2678857	76.7910015						
9.2615447	76.7846812			Bharat Petroleum			
9.3376204	76.8271832	Kalloth Petrol Bunk					
9.3413047	76.8309410			Indian Oil Fuel station			
12.6491144	75.1108022						
8.5640685	77.0565890						
9.1784931	76.5388404						
9.1715161	76.5997104	Sreevishnu Fuels					
9.1491143	76.7556377			Hindustan Petroleum			
9.0239623	76.9275648						
9.2424228	76.5196237						
9.3134822	76.5352007						
9.3722187	76.5507950	Hindustan Petroleum		Hindustan Petroleum			
9.3837568	76.5743260			Bharat Petroleum			
9.3855249	76.6206370	Indian Oil Pump		Indian Oil			
9.3830347	76.6387043						
9.3715228	76.6508091	"Podippara Fuels, Kumbanad"					
9.3375175	76.7062263						
9.2978838	76.7296932						
9.1547702	76.8542389						
9.2103499	76.8492011						
9.2317114	76.8482278						
9.3738435	76.7789118	Hindustan Petroleum		Hindustan Petroleum			
9.3900868	76.7881976						
9.3998487	76.7947288						
9.4103063	76.7963435						
9.6600638	76.7175885	"Bharat Petroleum, Petrol Pump -C S K Fuels"		Bharath Petroleum	paika		
9.7151797	76.6885627	Indian Oil KSRTC Pump			Pala		
9.9079902	76.7037670						
9.8910721	76.7153887						
9.9453015	76.6380449	Hindustan Petroleum		Hindustan Petroleum			
9.4463049	76.6636519						
9.2535761	76.5670653						
9.3269197	76.6867749	Petrol Pump Aranmula					
9.4259499	76.5098216	Hp petrol pump - Travancore Earth Moving Co	Travancore Earth Moving Co	Hindustan Petroleum			
9.3628347	76.4749958	St.George		IndianOil	Edathua		
9.6925113	76.5522841						
9.7069763	76.5391036	Bharat Petroleum		Bharat Petroleum			
9.7414364	76.5146499						
9.7737469	76.4803766	Appanchira Petrol Pump					
9.7826309	76.4364256						
9.7648284	76.3952727	Hindustan Petroleum		Hindustan Petroleum			
9.8059670	76.3969756						
9.8864609	76.3743650						
9.8822279	76.3752984						
9.9191507	76.3618713						
9.9508344	76.3308119	Thathanattu Petrol Pump			Cochin		
10.7826023	76.8259846	Hindusthan petroleum					
10.8352059	76.1879225						
10.8715817	76.1879404						
10.9021719	76.1961237						
10.9012711	76.1948282			Hindustan Petroleum			
10.0322797	76.2212162	Hindustan Petroleum	Bright Indo Fuels	Hindustan Petroleum			
10.1401070	76.1942681	Hindustan Petroleum		Hindustan Petroleum		+91-98475 48112	
10.3404661	76.1984069						
8.9277126	76.9062774						
10.6738344	76.1158078	Petrol Pump Pannithadam					
10.6772557	76.2073554						
10.6402209	76.0159843	Hyson Petrol Pumb					
10.4725016	76.0992266						
10.6566780	76.5025769						
10.1676348	76.4362690	HP Petrol Pump		Hindustan Petroleum			
12.1457955	75.1851032	BPCL Chovvery					
9.7564749	76.3952235	Bharat Petroleum		Bharat Petroleum			
9.5826116	76.9712755						
11.7489746	75.4945057	HP		Hindustan Petroleum			
8.7852513	76.7555888	Indian Oil Corporation		Indian Oil			
8.6967481	76.8156261	Bharat Petroleum		Bharat Petroleum	Attingal		
8.7291359	76.8122602	Hindustan Petroleum		Hindustan Petroleum			
8.6207877	76.8495548	Indian Oil Corporation		Indian Oil			
8.6929510	76.8211296	Indian Oil Corporation		Indian Oil			
8.7608518	76.7923085	Indian Oil Corporation		Indian Oil			
8.5349678	76.8816318	Indian oil		Indian Oil Corporation			
8.5980106	76.8548787	Indian Oil		Indian Oil			
8.8151003	76.7571891			Indian Oil Corporation			
9.8538097	76.5932759	Reliance Petroleum		Reliance			
8.8834476	76.5955486	Bharat Petroleum		Bharat Petroleum			
9.9146982	76.7430986			HP			
8.5037855	76.9689871	Chariot Gas Station					
9.4547687	76.5503085	Reliance Fuel Pump		Reliance			
8.5054316	76.9939057	Indian Oil		Indian Oil			
9.9475130	76.6323402	Bharat Petroleum		Bharat Petroleum			
11.1205740	76.1179300	HP		Hindustan Petroleum			
11.1206660	76.1170121	HP		Hindustan Petroleum			
10.4483837	76.2098397	United Auto Fuel	HP				
11.7366938	75.9865554	Hindustan Petroleum	Hindustan Petroleum	Hindustan Petroleum			
10.9840078	75.8749632	Indian Oil	Suplyco	Indian Oil			
10.1717799	76.3301616	HP		Hindustan Petroleum			
8.7809503	76.8786666						
8.7815379	76.8783670						
8.8690737	76.8700162						
11.1901172	75.8693239	Indian Oil		Indian Oil			
11.2336832	75.8031568	indian oil petrol pump					
11.2096386	75.8080777	Reliance					
11.8314869	75.5679700						
10.7559060	76.4991863	Petrol Pump					
11.3182247	75.7994502	HP Gas Depot					
11.1799629	75.8721018	Hindustan Petroleum	Hindustan Petroleum				
11.3581041	75.8589770	IOC	IOC		Parannur		
11.3684377	75.8593133	HP		Hindustan Petroleum			
11.2911969	75.8625216	BP	BP				
11.4216540	75.9364473	IOC	IOC				
11.2458391	75.7849356	HP		Hindustan Petroleum			
11.3913093	75.7618668			Indian Oil			
11.4536745	75.7704867	Bharat Petroleum		Bharat Petroleum			
11.4794297	75.7750127	Hindustan Petroleum Pump Naduvannur		HP			
11.5999663	75.7709421	HP Petrol Pump		Hindustan Petroleum			
11.6023029	75.7971860	Indian Oil Petrol Pump		Indian Oil			
11.6512804	75.7611194			Bharat Petroleum			
11.8381148	75.5686870	HP Petrol Pump - Janatha Service Station		HP			
11.8253732	75.5636547	gas cylinder		Indian Oil			
10.9011098	75.9256152	Hindustan Petroleum	Hindustan Petroleum				
10.9022341	75.9230926	IOC					
10.8830133	75.9310726	BP	BP				
10.8901176	75.9295694	IOC					
10.8714671	75.9340536						
11.2613481	75.7939175						
9.3605921	76.8626122	Viswanath Fuels		HP Fuel Station	perunad		
9.3373587	76.8271108			Bharath Petrolium			
9.4127541	77.0683453	Devaswam board Petrol Pump		Indian Oil Corporation			
9.4482747	76.8800075			Indane Oil Petrol Pump			
9.5389776	76.8836929			HP Petrol Pump			
11.8290654	75.5630089	Indane Ga s Agency		Indane			
9.6694076	77.0231396			Indian Oil Corporation			
9.6948979	77.0265208			ESSAR			
9.5748469	77.0935136	Bharath Petroleum		Barath Petroleum	Vandiperiyar		
9.5778513	77.0170749	Standard Motor Fuel Agency		Indian Oil			
9.7506485	77.1518643	Indian Oil		Indian Oil	puliyanmala		
9.6663715	77.1576443	Hindustan Petroleum		Hindustan Petroleum			
9.7310878	77.1855076			Indian Oil Petrol Pum			
11.0951857	76.2200146	IOC	IOC		Pandikkad		
11.0196040	76.1750357	Hindustan Petroleum	Hindustan Petroleum		Mankada		
11.0896660	76.2230015	IOC			Pandikkad		
11.6575930	75.7453838	HP Petrol Pump		HP			
11.6472125	75.7554059	Essar Petrol Pump		Essar			
11.6553707	75.7540981	Indian Oil Petrol Pump		Indian Oil			
10.9892071	76.1040299	BP	BP				
11.4628593	75.9684354	Hindustan Petroleum	Hindustan Petroleum				
11.4832271	76.0071787	Indian Oil Corporation Adivaram Petroleum	IOC	Indian Oil			
11.0645993	76.0287078	IOC					
11.2605976	75.7804375						
11.5003973	75.8149111						
9.6202100	76.5338651	Hindustan petroleum fuel		Hindustan Petroleum			
9.6471665	76.5476623	Reliance pump					
11.6688223	76.2769302	HP	Hindustan Petroleum	Hindustan Petroleum			
11.5956394	76.0776488	Bharat Petroleum		Bharat Petroleum			
11.6633028	76.2586059	Indian Oil-Kakkodan Filling Station	Indian Oil	Indian Oil			
9.7204835	76.6797049		HP				
11.8487263	76.0660574	Indian Oil		Indian Oil			
10.7238500	75.9492493	Essar Petrol Pump					
9.9900585	76.7922408	fuel pump					
10.8110056	76.4095312	Bharat Petroleum					
10.0124558	76.3029320	Petrol/Diesel Bunk					
10.7699630	76.2769688						
10.7125710	76.0881550	Bharat Petroleum pump		Bharat Petroleum			
10.7325916	76.0440732	HP		Hindustan Petroleum			
10.7007465	76.0906107	Fuel Station					
10.7832004	76.0078462	Bharat Petroleum		Bharat Petroleum			
10.7969310	76.0066081	Indian Oil		Indian Oil			
10.7328136	76.0378000	Essar					
10.9342100	76.0071140	Hindustan Petroleum					
8.8441618	77.0323200						
10.6898736	76.3990928	HP Gas Agency					
10.6938111	76.3495252	Petrol Pump					
10.6944446	76.3405691	Petrol Pump					
9.9606061	76.3229083	Petron					
9.1572405	76.7288342						
11.4975293	75.6267770	Indian Oil		Indian Oil			
11.4406406	75.6944034	Indian Oil		Indian Oil			
10.5810438	76.0412216	Indian Oil		Indian Oil			
10.7793864	76.2789000						
10.5265114	76.2121189	Hindustan Petroleum	Hindustan Petroleum	Hindustan Petroleum			
10.8978597	76.0609643	"Indian oil, sigma enterprises"	hassan ahammed	Indian Oil		+91-4942610949	http://www.sigmaenterprises.com
9.7323622	76.6274827	Surya Gayathri Fuels Kozhikomb		IOC			
10.4667467	76.2461070	Indian oil		Indian Oil			
11.2438023	75.9766277	Hindustan Petroleum		Hindustan Petroleum			
9.0015642	76.5545580	HP Petrol Pump					
11.0328964	75.9400445	Indian Oil		Indian Oil			
11.0215400	75.9481156						
10.1889304	76.2436632						
9.8927207	76.3717204	IOC Petrol pump					
9.5665017	76.7076806	Kodungoor Petrol Pump					
9.2619441	76.5434554	Reliance pump					
9.8847212	76.6409035	Bharat Petroleum			Vazhithala		
8.9784352	76.5350643	Ioc Petrol Pump					
11.0431731	75.9050834	Hindustan Petroleum					
11.0487223	75.8587129	HP		Hindustan Petroleum			
11.2585461	75.8017978	HP		Hindustan Petroleum			
11.0467526	75.9111882	Bharath Petroleum					
10.9675632	75.8848971	Petrol Station					
9.5203670	76.3561474	Indian Oil		Indian Oil			
9.4999394	76.3491221	Indian Oil		Indian Oil			
10.1073281	76.3593915						
10.1687865	76.2342699	Essar pump					
10.2194567	76.3773606	Reliance fuelling station		Reliance	karukutty		
10.2377978	76.2090321						
10.6891581	75.9883148						
10.0355311	76.3143412	Bharat Petroleum		Bharat Petroleum			
10.6474366	76.5479953	Alathur petrol pump					
9.9522472	76.3376728	HP		Hindustan Petroleum			
9.9527791	76.3383769	Indian Oil		Indian Oil			
9.1185465	76.4856291	Musket Fuels					
9.1267192	76.5023636						
9.1328703	76.5134087	HP Petrol Pump		Hindustan Petroleum			
10.2272319	76.2000106	പെട്രോള്‍ പമ്പ്‌		Indian Oil			
11.6809329	75.9743391	Ioc					
11.8475638	76.0637955	Bp		BP			
9.3833421	76.5742295						
9.3857447	76.5753067						
9.3872236	76.5753094						
9.3867455	76.5752827						
10.2078048	76.2966474	Kuzhur Petrol Station					
8.6883236	76.7579838	Vakkom petrol pump	indian oil				
10.4654326	76.1839134	Petrol Pump					
8.8915209	76.5756692	Devi Mulamkadakom Fuels					
10.7275678	76.4257902	Hindustan Petroleum			Thiruvilwamala		
11.8775318	75.3576551	HP Petrol Pump					
8.6650929	77.0815751	Bharat Petroleum Petrol Pump	Bharat Petroleum				
8.6728760	77.0881329	Hindustan Petroleum	Hindustan Petroleum	Hindustan Petroleum			
10.9037800	75.9219435	BP Petrol Pump					
10.1389455	76.1944905						
11.6608866	76.2402088	Indian Oil corporation Ltd Balaji Fuel Station		Indian Oil			
10.6826718	76.7069821	Bharat Petroleum		Bharat Petroleum			
10.5875823	76.0248427	HP Petrol Station					
9.3508743	76.3668668	Ioc					
9.4996066	76.3344826	Ioc					
9.4438215	76.6510183	Bharat Petroleum	Syndicate Fuels		Mallappally		
11.1294913	76.0404375	Indian Oil corporation IOC		Indian Oil			
11.1276928	76.0449466	hindustan petrolium valluvambram					
10.5382935	76.2121755	Hindustan Petroleum	Hindustan Petroleum	Hindustan Petroleum			
8.4239239	77.0478045	Indian Oil	Indian Oil	Indian Oil			
9.6334517	76.6053825						
9.4470295	76.6539225						
9.0586038	76.7673075						
8.9924981	76.7937675	Reliance Patrol Pump					
9.9073167	76.7308357	Bharat Petroleum		Bharat Petroleum			
11.5407113	75.8403289						
10.8772070	76.5495193						
8.4573860	76.9502093	Bharath Petroleum		Bharath Petroleum			
10.2668343	76.3502586						
10.5012986	76.2499170						
9.3700947	76.5489511	Indian Oil Petrol Pump		Indian Oil			
10.6924101	76.2681991			Hindustan Petroleum			
11.7947174	76.0529275						
10.4760947	76.2435445	HP Petrol Pump					
10.3514751	76.2042773	Indian Oil Petrol Pump		Indian Oil			
10.3105344	76.3376020	Hindustan Petroleum					
10.3524014	76.2951229	Indian Oil Petrol Pump		Indian Oil	Thrissur		
10.3165610	76.3296457	Puthussery Kattalan Fuels	Puthussrey Kattalan Fuels	Bharath Petroleum			
8.8891887	76.5998528	Bp					
8.9026428	76.6207809	Hp					
8.9132922	76.6292302	Ioc					
10.0486414	76.3692639	HP Petrol Pump					
8.9927216	76.5327491	Indian Oil Petrol Pump		Indian Oil			
9.0090953	76.5369423	HP		Hindustan Petroleum			
9.8632066	76.6973176			BP			
10.0841411	76.3139640	Edayar Gas Station					
10.1401319	76.2647223	Essar pump					
10.0738118	76.3040857	Ioc					
11.8952249	75.4108924	Petrol Station					
10.0686965	76.3636729	IOC Fuel Station					
12.2088248	75.4181161	Indian Oil Petrol Pump		Indian Oil			
11.1547569	75.9582675	IOC					
9.5884158	76.5392586	HP petroleum		Hindustan Petroleum			
9.7574243	76.4963339	Indian Oil		Indian Oil			
10.1490921	76.4556062	Hindustan Petroleum					
10.1477192	76.4569956	Indian Oil		Indian Oil			
10.1307842	76.4703369	Hindustan Petroleum		Hindustan Petroleum			
9.9903346	76.5771809	ഇന്ത്യൻ ഓയിൽ പെട്രോൾ പമ്പ്	Indian Oil	Indian Oil Petrol Pump	മുവാറ്റുപുഴ	+91-18002333555	https://www.iocl.com/
12.1026210	75.1982830			Indian Oil		+919846839010	https://locator.iocl.com/indianoil-sai-sastha-petroleum-petrol-pump-payyanur-kannur-235382/Home
11.0510936	75.9885677	Petrol pump					
11.2015928	75.8164327	HP Fuel Station					
11.4267116	76.0045171	Malanad Hindustan Petroleum					
11.6631079	76.1611544	Petrol Meenangadi					
11.2711745	75.8318235	BPCL Petrol Pump			"Kozhikode, Kerala"		
9.5006422	76.6356089	Bharat Petroleum		Bharat Petroleum			
10.0472145	76.5325167	Indian Oil		Indian Oil			
8.5382391	77.0205841	Naga Fuels		Bharat Petroleum	Thiruvananthapuram		
10.0681032	76.6143081	PUMP	INDIAN OIL				
12.3328637	75.0815585	thekkepuram gas station		HP			
12.3362536	75.0999723						
9.8725888	76.4914706	Bharat Petroleum		Bharat Petroleum			
10.0723546	76.5978772	CP Bawa Fuel Station					
11.1062035	76.2301835	Bharat Petroleum		Bharat Petroleum			
10.9875393	76.4623777	INDIAN OIL			Mukkannam		
8.4847937	76.9531324	Metro Agencies		METRO			
11.2850463	76.2383050						
12.2886974	75.4036223	Indian Oil		Indian Oil			
11.4372461	75.9000002	Bharat					
11.4432769	75.8872429	IndianOil		Indian Oil			
10.6079168	76.1396544	Hindusthan Petroleum					
10.5060135	76.1664579	Essar Oil Petrol Bunk		Essar			
10.4796971	76.1192030	indian oil cooperation					
10.4792215	76.1184968	petrol pumb					
10.5228770	76.2044614	Bharat Petroleum		Bharat Petroleum			
10.6066900	76.1403496	mkk agencies					
10.6739298	76.1157940	Hindustan Petroleum		Hindustan Petroleum			
10.5343252	76.0855055	Essar Petroleum		Essar			
10.6797792	76.1566210	Indian Oil		Indian Oil			
10.5090912	76.2649856	Indian Oil Neliparambil Fuels		Indian Oil	THRISSUR		
9.0856542	76.5554946	"Bharat Petroleum Petrol Pump,Remya Fuels"		Bharat Petroleum			
9.0573376	76.6433191						
8.3979123	77.0896419	Indian Oil		Indian Oil	Trivandrum		
9.0889160	76.5843889	bharat petroleum					
11.3045300	75.8722766	Hindustan Petroleum		Hindustan Petroleum			
8.6234204	77.0815056	HP		hp			
10.6176707	76.0458928	Auto Gas Refilling Station					
10.6495828	76.0688408	Hindustan Petroleum		Hindustan Petroleum			
10.4286373	76.1307028	Edakkalathur Petrol Station					
10.2381706	76.2086941	Hindustan Petroleum					
10.4697253	76.2441763	Bharat Petroleum Petrol Pump Ollur Fuels					
10.6294067	76.1211737	Neelima Fuels					
10.5049996	76.2253506						
10.5161787	76.2180696						
11.2758747	75.7720488	Indian Oil Petrol		Indian Oil			
10.7805864	75.9489198	Aysha Petroleum (Bharath Petroleum)					
11.3593155	76.0072720	Bharat Petroleum		Bharat Petroleum	Thiruvambady		
11.3567731	76.0034652	Indian Oil		Indian Oil	Thiruvambady		
11.2758356	75.7721266	Calicut Petrol					
11.3489595	76.0364674	Indian Oil		Indian Oil	Calicut		
10.7494984	76.2251896	Indian oil		Indian Oil			
8.5599325	76.9432646						
10.9134217	75.9172871	Prakash Gas Agencies					
10.4902722	76.2739257	Petrom		Petrom			
10.4493264	76.2097731	Hindustan Petroleum					
11.1210321	76.1200424	Mammi Haji & Sons		Petrolimex			
10.4581046	76.2088340	Gurudeva Bharath Petrol Pumb					
10.4586084	76.2087482	"Bharat Petroleum, Petrol Pump -Royal Fuel Agency"					
8.4907363	77.1255190	Indian Oil					
8.5083227	77.0262774	"M P Gas Agency, Thachottukavu"		bharath gas	tachottukavu		
10.1079404	76.3594791	HP Petrol Station		Hindustan Petroleum			
10.1078360	76.3598309	HP Petrol station		Hindustan Petroleum			
8.7069052	76.9036695	Bharat Petroleum		Bharat Petroleum			
8.8752152	76.6267420				kollam		
8.6263555	76.8289770	Kottarakari					
9.5236712	76.8279597	Hindustan Petroleum		Hindustan Petroleum			
12.4109198	75.0229814	Bharat Petroleum		Bharat Petroleum		+91-7736822030	
9.6310869	76.6055903	vallialil petrolium agencies HP petrol pump					
9.6839529	76.7782015	Indian Oil		Indian Oil			
